Property URL,MLS ID,Property type,Number of days on Zillow,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Image URL,Street address,City,Zip,State,Country,Latitude,Longitude,Project Type,Curb Appeal,Kitchen,Bathroom,Flooring,Yard,Pool,Walk in Closet,Primary Suite,Flow,Laundry Room,Patio,Energy Star Windows,Exterior Lighting,Ceiling Fan,Garage Storage,Front Porch,Hardwood Flooring,Full Bath Main Level,Energy Star Appliances,Walk In Pantry,Landscaping,Table Space in Kitchen
https://www.zillow.com/homedetails/394-El-Dorado-Dr-Sonoma-CA-95476/15831773_zpid/,,Single Family,4,799000,########,1516,sqft,527.04,,sqft,4,2,https://photos.zillowstatic.com/fp/9bffebc080569b16977bbc49f5ec8505-p_e.jpg,394 El Dorado Dr,Sonoma,95476,CA,USA,38.31354,-122.489,Small Projects,8,10,9,2,6,0,3,10,9,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/930-Arguello-Ct-Sonoma-CA-95476/15828770_zpid/,,Single Family,5,790000,########,1392,sqft,567.53,5998.21,sqft,3,2,https://photos.zillowstatic.com/fp/a88010277ea4f7d6eb2d5e4253684c4a-p_e.jpg,930 Arguello Ct,Sonoma,95476,CA,USA,38.30085,-122.474,Small Projects,3,10,9,5,4,1,7,4,10,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/28-S-Temelec-Cir-Sonoma-CA-95476/15838143_zpid/,,Single Family,5,850000,########,1420,sqft,598.59,9679.03,sqft,2,2,https://photos.zillowstatic.com/fp/8f6b8d77f1fdbaaf7c5f423104283998-p_e.jpg,28 S Temelec Cir,Sonoma,95476,CA,USA,38.26349,-122.489,Big Project,5,1,2,3,9,0,3,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/649-1st-St-W-APT-12-Sonoma-CA-95476/300259576_zpid/,,Condominium,5,724000,########,2070,sqft,349.76,2134.44,sqft,3,3,https://photos.zillowstatic.com/fp/a1e0c18b4015b8dcfdb734b9afb76209-p_e.jpg,649 1st St W APT 12,Sonoma,95476,CA,USA,38.28964,-122.46,Small Projects,5,1,9,1,2,0,3,7,3,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/20736-Temelec-Dr-Sonoma-CA-95476/15837695_zpid/,,Single Family,6,650000,########,1084,sqft,599.63,7701.41,sqft,2,2,https://photos.zillowstatic.com/fp/5ccaaba3e1522906fc0cb2d8c319b727-p_e.jpg,20736 Temelec Dr,Sonoma,95476,CA,USA,38.26607,-122.502,Small Projects,1,3,5,4,7,1,7,10,3,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/18359-Clayton-Ave-Sonoma-CA-95476/15797068_zpid/,,Single Family,10,930000,########,1562,sqft,595.39,10001.38,sqft,4,3,https://photos.zillowstatic.com/fp/70b641ba66b2619d3b77612f10dbba31-p_e.jpg,18359 Clayton Ave,Sonoma,95476,CA,USA,38.30764,-122.489,Small Projects,8,7,6,4,5,1,7,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/418-Siesta-Way-Sonoma-CA-95476/15801570_zpid/,,Single Family,10,775000,########,936,sqft,827.99,8499,sqft,2,1,https://photos.zillowstatic.com/fp/142db879a1d7a65a76522fbccf0c440e-p_e.jpg,418 Siesta Way,Sonoma,95476,CA,USA,38.3116,-122.475,Small Projects,1,10,7,3,2,0,8,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/18445-Clayton-Ave-Sonoma-CA-95476/15797076_zpid/,,Single Family,12,550000,########,899,sqft,611.79,5001,sqft,1,1,https://photos.zillowstatic.com/fp/a071ec083ddd828a13e3cb81a7399605-p_e.jpg,18445 Clayton Ave,Sonoma,95476,CA,USA,38.3072,-122.489,Small Projects,5,9,2,10,3,0,9,7,3,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/18504-Wellesley-Ct-Sonoma-CA-95476/15798463_zpid/,,Townhouse,13,818000,########,1908,sqft,428.72,4142.56,sqft,3,2,https://photos.zillowstatic.com/fp/03eac29411e27b87d5a8ab9e751152a6-p_e.jpg,18504 Wellesley Ct,Sonoma,95476,CA,USA,38.30815,-122.496,Small Projects,9,4,9,2,8,0,8,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.zillow.com/homedetails/860-Princeton-Dr-Sonoma-CA-95476/15798526_zpid/,,Single Family,13,850000,########,2160,sqft,393.52,2448.07,sqft,3,3,https://photos.zillowstatic.com/fp/11ad42ccc9c898d36fb25ebd5d09d0c0-p_e.jpg,860 Princeton Dr,Sonoma,95476,CA,USA,38.31023,-122.492,Small Projects,5,9,5,9,4,0,6,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-
